ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,traffic,trafficP,drink,drinkP,lead,leadP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,pov,povP,unemp,unempP,housingB,housingBP
0.04050375,22.19041693,8.022259467,13.65276914,0.199922081,62.04107032,0,0,576.3664851,26.5625,266.4051922,17.28487573,67.29058464,75.58916194,0.575,73.47452019,6,58.69382612,10.5,91.84421535,45.71764898,5.58211586,58.55631612,48.54,54.36191426,3.17,11.07261996,9.17,22.48255234,25.4,73.99392559,26.5,47.5,3.4,22.56637168,20.5,64.81622307
0.04050375,22.19041693,7.531123378,9.807093964,0.056024689,20.37336652,0,0,288.3678895,7.6875,266.4051922,17.28487573,44.65080972,43.84373031,0.545,71.99205824,6,58.69382612,3.5,66.68957617,33.14205846,4.046638755,24.48039826,39.48,40.75274177,4.78,46.2920195,7.65,11.1665005,5.1,21.66540116,18.8,31.54522613,1.7,4.229567933,16.4,46.02027883
0.04050375,22.19041693,7.829885836,11.88550093,0.049801431,17.89670193,0,0,400.4934193,14.175,266.4051922,17.28487573,49.93928861,51.46817895,0.58,73.60688286,3,33.15833683,0.6,22.95532646,27.9867149,3.41717233,13.9390168,39.33,40.42871386,2.89,8.031819348,8.4,16.47557328,2.3,7.403189066,16,24.42211055,5.1,45.78344612,20.9,66.51457541
0.04050375,22.19041693,8.012993127,13.52831363,0.133079095,46.70815184,16.30079966,64.17241379,1365.045972,74.3375,459.1937037,55.15174223,43.4812259,42.16761185,0.25,43.29583058,9,77.29945401,2,52.89805269,42.41775349,5.179199276,49.79464841,30.7,26.17148554,5.75,69.98973569,7.86,12.5997009,11.4,46.50721336,22.2,38.90703518,4.5,37.71473191,17.8,53.11787072
0.03975537,20.84629745,8.023074454,13.67766024,0.095784689,35.81829496,119.2588199,78.20689655,1674.707792,81.4875,327.1017862,30.94792057,33.47672065,28.51921865,0.625,75.83057578,9,77.29945401,1.1,36.47193585,45.93665881,5.608856917,59.32794026,36.44,35.54336989,4.79,46.49730562,8.78,19.35443669,9.1,38.4712731,13.7,18.90703518,4,30.88235294,4,0.671736375
0.03975537,20.84629745,8.102836607,14.87243311,0.17684062,57.71001867,309.0738177,83.20689655,1106.481464,64.3,327.1017862,30.94792057,56.03731586,60.13862634,1.26,88.48444739,11,86.95926081,2.5,59.17525773,56.48408441,6.896695487,85.2769135,31.22,27.21834497,6.7,86.54092892,10.69,35.48105683,17.7,60.90863073,38.8,67.24874372,9.3,83.22488287,17.3,50.72243346
0.04050375,22.19041693,8.192604226,16.26633479,0.153181981,52.00995644,0.36238166,35.20689655,832.1676327,46.4625,327.1017862,30.94792057,29.41670227,23.26402016,0.3,50.13898081,5,51.21797564,0.2,9.667812142,36.49730151,4.456313264,33.0802738,26.78,19.65353938,7.18,91.48062612,8.67,18.45712861,4.6,19.28625664,9.8,9.635678392,4.2,33.57626236,9.7,12.78833967
0.04050375,22.19041693,8.00966312,13.47853143,0.150756184,51.40012446,4.720841614,54,1114.177415,64.7375,327.1017862,30.94792057,21.07287449,13.38374291,0.03,4.116479153,5,51.21797564,0.6,22.95532646,36.22426636,4.422975728,32.45799627,39.77,41.25124626,5.7,68.86066205,9.54,25.67298106,3.8,15.23664895,19.9,33.98241206,,,11.3,19.80988593
0.04050375,22.19041693,7.851218248,12.0970753,0.157209317,52.94337274,3.3887052,51.24137931,457.3576447,17.8125,327.1017862,30.94792057,35.42886672,31.10270951,0.29,47.59761747,5,51.21797564,0,0,28.70311232,3.504644313,15.13378967,30.54,25.9222333,4.02,27.12342828,11.38,41.16400798,10.7,44.34320425,21.3,36.79648241,5,44.35190005,7.5,5.475285171
0.04255413,26.84505289,7.51600756,9.695084007,0.010437033,4.069695084,9.363221702,59.75862069,249.6488106,5.95,464.6519378,55.82615212,32.50071838,27.28418399,0.02,2.514890801,7,66.73666527,0,0,25.74936508,3.143992362,9.73242066,27.97,21.77218345,1.55,0.795483705,7.85,12.56231306,2.2,6.9476082,7.4,4.912060302,2.7,13.1832379,14.1,33.7008872
